,Date,ID,url,username,source,location,tweet,num of likes,num of _retweet
59,2022-10-08 09:22:03+00:00,1578677091574611969,https://twitter.com/Almajd2099/status/1578677091574611969,Almajd2099,Twitter Web App,le lien de ma playlist sublime exceptionnelle la plus belle de l'univers en dessous de ce message,"certains ça coute disent 200 dollar, n'exagérons rien, la récole de zgougou est énorme, le kilo debute à 7,5 euro, boufriwa kilo à 13 euro, juste bondek atteint 65 euro, crème blanche coute centime d'eueo, vs pouvez ajouté du nestlé à 2,2 euro, il y la ni3ma  alhamdoulilAllah https://t.co/13abKarxFz",0,0
60,2022-10-08 09:04:00+00:00,1578672547695976448,https://twitter.com/boujemaa_b/status/1578672547695976448,boujemaa_b,Twitter for iPhone,,"@Poulin2012 #Alstom , tickets #FDJ fabriqués à #LasVegas, #McKinsey, #BlackRock, #Nestle-#pfizer, #Biden... il faut quoi le destituer ce traître vendu aux #USA depuis plus de 10 ans... il y a un conflit d’intérêt puisqu’il a traité avec #Pfier chez #Rothschild @anticor_org @FR_corruption https://t.co/kLpI10yVgy",1,0
61,2022-10-08 08:11:43+00:00,1578659391946952704,https://twitter.com/larry79115/status/1578659391946952704,larry79115,Twitter Web App,Not in District 12,"@Besson_Gabriel Les apprentis apprennent à manipuler le plastique pour le placer autour des produits bio.
J'ai demandé aux agriculteurs de planter du chanvre.
Nestlé m'a offert un couteau suisse souvenir.
Je le garde dans mon dos.",0,0
62,2022-10-08 07:39:59+00:00,1578651406256418817,https://twitter.com/NoPassNoMask/status/1578651406256418817,NoPassNoMask,Twitter for Android,"Paris, France","@EmmanuelMacron Vous feriez mieux d'écouter la sagesse de Jacques #attali qui vous a propulsé aux affaires et permis de faire le deal de votre vie #pfizer/nestlé... 
L'#Ukraine n'est pas notre guerre!
Ecoutez Jacques, de grâce!
https://t.co/xAdSyv0hMq",2,2
63,2022-10-08 06:50:43+00:00,1578639006958772224,https://twitter.com/Iamcohelo/status/1578639006958772224,Iamcohelo,Twitter for iPhone,"Berne, Suisse","Paul #Bulcke :Il est dans l'ADN de Nestlé d'offrir de la nutrition aux gens, même en #Russie…relativisons un peu…il est dans l’ADN de @Nestle de faire du profit et seul ~37 % de son CA est réalisé avec des produits atteignant le seuil de bonne qualité nutritionnelle @RTSinfo 🤗",0,0
64,2022-10-08 05:50:21+00:00,1578623814703132672,https://twitter.com/charly_olivier/status/1578623814703132672,charly_olivier,Twitter for Android,Douala - Akwa,"Mr @Banzeu1 responsable de communication et relations publiques à @NestleCWAR_FR invite les consommateurs des produits Nestlé et le public camerounais à faire plus d’attention...
@DefyhatenowWCA
@NgalaDesmond
https://t.co/kdRUR1STLh

#tamtam_du_mboa
#AFFCameroon",2,0
65,2022-10-08 04:19:08+00:00,1578600860640169984,https://twitter.com/surunmoyentemps/status/1578600860640169984,surunmoyentemps,Twitter Web App,"Montréal, Québec","Cette semaine dans l'infolettre... sorties cinéma, nouvelle planète aquatique, Nestlé qui vire durable, inflation louche en épiceries, gros kit #LEGO #TheOffice, puis #HotTake final particulièrement brutal. https://t.co/a8IODhGfyD",3,0
66,2022-10-08 03:27:12+00:00,1578587790152908800,https://twitter.com/servalan79/status/1578587790152908800,servalan79,Twitter for Android,Gauda Prime ,La foret amazonienne a littéralement été privatisée. #Nestlé #Monsanto/Bayer etc utilisent des mercenaires pour tuer les autochtones et voler leurs terres. #Bresil,0,1
67,2022-10-08 03:06:16+00:00,1578582522380046337,https://twitter.com/JeremyJRM67/status/1578582522380046337,JeremyJRM67,Twitter for Android,,@BrunoLeMaire @EmmanuelMacron @Economie_Gouv @guillaumekasba @RolandLescure @gouvernementFR @oliviagregoire @Prefet28 Il vient d'une autre planète lui. ça vend alstom ça vend des branches de sanofi a Nestlé. ça ferme des centrales ... ca ne fabrique pas de masque ffp2 ect..virer les personnes soignantes car elles ne veulent pas se faire vacciné et ça raconte de la merde pareil ? 🤯🤯🤯🤯🤯🤯🤯,0,0
68,2022-10-08 02:13:38+00:00,1578569277489270784,https://twitter.com/LBOTDealsOfDay/status/1578569277489270784,LBOTDealsOfDay,BFridayBot,Illinois,"Amazon [$42.34]: Nestlé NAN SUPREMEpro 2, Premium Follow-on Baby Formula, 6 to 12 Months – 800g

🛒 https://t.co/GjwREAKFV6 

🛍 https://t.co/EzKbCGpfRW

 ⏰ 02:13:37 #ad https://t.co/gt7BlEG83r",0,0
